Year,Deshka_abundance,Deshka_CV,EastsideSusitna_abundance,EastsideSusitna_CV,Talkeetna_abundance,Talkeetna_CV,Yentna_abundance,Yentna_CV,Total_abundance
2004,65237,0.04,40620,0.13,28497,0.2,70456,0.19,204810
2005,43715,0.04,36470,0.11,18543,0.18,51098,0.18,149826
2006,36350,0.04,31656,0.11,19167,0.18,46459,0.18,133632
2007,23359,0.05,25525,0.12,26287,0.19,38967,0.19,114138
2008,9301,0.05,19680,0.13,16743,0.17,21838,0.18,67562
2009,12805,0.05,15880,0.13,13395,0.18,17266,0.19,59346
2010,20835,0.05,13844,0.16,13495,0.22,19125,0.2,67299
2011,21911,0.05,11601,0.13,7133,0.18,17476,0.18,58121
2012,15177,0.05,10086,0.1,9316,0.13,17326,0.17,51905
2013,19745,0.04,17202,0.07,18501,0.1,29999,0.15,85447
2014,16693,0.04,16084,0.09,13808,0.12,28269,0.09,74854
2015,26367,0.04,24700,0.08,13196,0.12,42166,0.09,106429
2016,24499,0.04,22973,0.08,9616,0.13,28943,0.1,86031
2017,13118,0.05,13616,0.09,6999,0.11,13947,0.14,47680